firstName,lastName,emailId,address
John,Doe,john.doe@example.com,123 Main St Springfield IL
Jane,Smith,jane.smith@example.com,456 Oak St Springfield IL
Alice,Johnson,alice.johnson@example.com,789 Pine St Springfield IL
Bob,Brown,bob.brown@example.com,101 Maple St Springfield IL
Carol,White,carol.white@example.com,202 Birch St Springfield IL
David,Wilson,david.wilson@example.com,303 Cedar St Springfield IL
Eve,Clark,eve.clark@example.com,404 Elm St Springfield IL
Frank,Lopez,frank.lopez@example.com,505 Walnut St Springfield IL
Grace,Martinez,grace.martinez@example.com,606 Chestnut St Springfield IL
Hank,Garcia,hank.garcia@example.com,707 Ash St Springfield IL
Virendra,Kashyap,virendra.garcia@example.com,707 Ash St Springfield IL
